year,month,appearance,positive2
2017,1,2,0.75
2017,2,0,0.0
2017,3,0,0.0
2017,4,2,0.5
2017,5,2,0.5
2017,6,1,0.5
2017,7,6,0.5833333333333334
2017,8,7,0.7857142857142857
2017,9,7,0.5
2017,10,2,0.75
2017,11,1,1.0
2017,12,2,1.0
2018,1,1,0.5
2018,2,2,0.5
2018,3,2,0.5
2018,4,4,0.5
2018,5,1,1.0
2018,6,3,0.6666666666666666
2018,7,5,0.6
2018,8,8,1.0
2018,9,0,0.0
2018,10,3,0.16666666666666666
2018,11,2,1.0
2018,12,0,0.0
2019,1,9,0.5
2019,2,2,0.5
2019,3,4,0.5
2019,4,3,0.6666666666666666
2019,5,0,0.0
